公司代码,公司简称,公司全称
000806,银河生物,北海银河生物产业投资股份有限公司
000807,云铝股份,云南铝业股份有限公司
000809,铁岭新城,铁岭新城投资控股股份有限公司
000810,创维数字,创维数字股份有限公司
000811,烟台冰轮,烟台冰轮股份有限公司
000812,陕西金叶,陕西金叶科教集团股份有限公司
000813,天山纺织,新疆天山毛纺织股份有限公司
000815,美利纸业,中冶美利纸业股份有限公司
000816,智慧农业,江苏农华智慧农业科技股份有限公司
000818,方大化工,方大锦化化工科技股份有限公司
000819,岳阳兴长,岳阳兴长石化股份有限公司
000820,金城股份,金城造纸股份有限公司
000821,京山轻机,湖北京山轻工机械股份有限公司
000822,山东海化,山东海化股份有限公司
000823,超声电子,广东汕头超声电子股份有限公司
000825,太钢不锈,山西太钢不锈钢股份有限公司
000826,启迪桑德,启迪桑德环境资源股份有限公司
000828,东莞控股,东莞发展控股股份有限公司
000829,天音控股,天音通信控股股份有限公司
000830,鲁西化工,鲁西化工集团股份有限公司
000831,*ST五稀,五矿稀土股份有限公司
000833,贵糖股份,广西贵糖（集团）股份有限公司
000835,长城动漫,长城国际动漫游戏股份有限公司
000836,鑫茂科技,天津鑫茂科技股份有限公司
000837,秦川机床,秦川机床工具集团股份公司
000838,财信发展,财信国兴地产发展股份有限公司
000839,中信国安,中信国安信息产业股份有限公司
000848,承德露露,河北承德露露股份有限公司
000850,华茂股份,安徽华茂纺织股份有限公司
000851,高鸿股份,大唐高鸿数据网络技术股份有限公司
000852,石化机械,中石化石油机械股份有限公司
000856,*ST冀装,唐山冀东装备工程股份有限公司
000858,五 粮 液,宜宾五粮液股份有限公司
000859,国风塑业,安徽国风塑业股份有限公司
000860,顺鑫农业,北京顺鑫农业股份有限公司
000861,海印股份,广东海印集团股份有限公司
000862,银星能源,宁夏银星能源股份有限公司
000863,三湘股份,三湘股份有限公司
000868,安凯客车,安徽安凯汽车股份有限公司
000869,张 裕Ａ,烟台张裕葡萄酿酒股份有限公司
000875,吉电股份,吉林电力股份有限公司
000876,新 希 望,新希望六和股份有限公司
000877,天山股份,新疆天山水泥股份有限公司
000878,云南铜业,云南铜业股份有限公司
000880,潍柴重机,潍柴重机股份有限公司
000881,大连国际,中国大连国际合作（集团）股份有限公司
000882,华联股份,北京华联商厦股份有限公司
000883,湖北能源,湖北能源集团股份有限公司
000885,同力水泥,河南同力水泥股份有限公司
000886,海南高速,海南高速公路股份有限公司
000887,中鼎股份,安徽中鼎密封件股份有限公司
000888,峨眉山Ａ,峨眉山旅游股份有限公司
000889,茂业通信,茂业通信网络股份有限公司
000890,法 尔 胜,江苏法尔胜股份有限公司
000892,星美联合,星美联合股份有限公司
000893,东凌国际,广州东凌国际投资股份有限公司
000895,双汇发展,河南双汇投资发展股份有限公司
000897,津滨发展,天津津滨发展股份有限公司
000898,鞍钢股份,鞍钢股份有限公司
000899,赣能股份,江西赣能股份有限公司
000900,现代投资,现代投资股份有限公司
000901,航天科技,航天科技控股集团股份有限公司
000902,新洋丰,湖北新洋丰肥业股份有限公司
000903,云内动力,昆明云内动力股份有限公司
000905,厦门港务,厦门港务发展股份有限公司
000906,物产中拓,物产中拓股份有限公司
000908,景峰医药,湖南景峰医药股份有限公司
000909,数源科技,数源科技股份有限公司
000910,大亚科技,大亚科技股份有限公司
000911,南宁糖业,南宁糖业股份有限公司
000912,泸天化,四川泸天化股份有限公司
000913,*ST钱江,浙江钱江摩托股份有限公司
000915,山大华特,山东山大华特科技股份有限公司
000916,华北高速,华北高速公路股份有限公司
000917,电广传媒,湖南电广传媒股份有限公司
000918,嘉凯城,嘉凯城集团股份有限公司
000919,金陵药业,金陵药业股份有限公司
000920,南方汇通,南方汇通股份有限公司
000921,海信科龙,海信科龙电器股份有限公司
000922,佳电股份,哈尔滨电气集团佳木斯电机股份有限公司
000923,河北宣工,河北宣化工程机械股份有限公司
000925,众合科技,浙江众合科技股份有限公司
000926,福星股份,湖北福星科技股份有限公司
000927,一汽夏利,天津一汽夏利汽车股份有限公司
000928,中钢国际,中钢国际工程技术股份有限公司
000929,兰州黄河,兰州黄河企业股份有限公司
000930,中粮生化,中粮生物化学（安徽）股份有限公司
000931,中 关 村,北京中关村科技发展(控股)股份有限公司
000932,华菱钢铁,湖南华菱钢铁股份有限公司
000933,*ST神火,河南神火煤电股份有限公司
000935,四川双马,四川双马水泥股份有限公司
000936,华西股份,江苏华西村股份有限公司
000937,冀中能源,冀中能源股份有限公司
000938,紫光股份,紫光股份有限公司
000939,凯迪生态,凯迪生态环境科技股份有限公司
000948,南天信息,云南南天电子信息产业股份有限公司
000949,新乡化纤,新乡化纤股份有限公司
000950,*ST建峰,重庆建峰化工股份有限公司
000951,中国重汽,中国重汽集团济南卡车股份有限公司
000952,广济药业,湖北广济药业股份有限公司
000953,河池化工,广西河池化工股份有限公司
000955,欣龙控股,欣龙控股（集团）股份有限公司
000957,中通客车,中通客车控股股份有限公司
000958,东方能源,石家庄东方能源股份有限公司
000959,首钢股份,北京首钢股份有限公司
