Header,
报告名称,资产负债表
报告日期,2015-12-31,2014-12-31,2013-12-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,2008-12-31,2007-12-31,2006-12-31,2005-12-31,2004-12-31,
日期格式,yyyy-MM-dd
公司代码,601857
公司名称,中国石油
单位,10000
其他流动负债,432600,365200,543200,483000,540800,349700,6255400,300,1300,1200,1500,0,
流动负债合计,47140700,57982900,64548900,57474800,56003800,42973600,38855300,26433700,20165400,18046500,15347000,12175300,
长期借款,32946100,29880300,21170800,20754000,11292800,3357800,3650600,2868400,3530500,3040100,3963000,3560800,
应付债券,10501400,7149800,9115400,8623400,6774700,9777400,4896500,414300,438300,464500,428000,285000,
长期应付款,,,,,,,0,5700,5700,5000,5000,5100,
专项应付款,,,,,,,0,76800,77400,73700,75500,45600,
预计非流动负债,11799600,10915400,9453100,8392800,6870200,6036400,4474700,3626200,2476100,1848100,1418700,0,
长期递延收益,,,,,,,0,21100,7600,0,0,0,
递延所得税负债,1311600,1582400,1508700,2220900,2067100,2142400,2149300,1258800,1188300,1248000,1253300,715400,
其他非流动负债,1281200,1250800,1412700,1341200,487600,339100,236700,12600,12800,29000,27500,33200,
非流动负债合计,57839900,50778700,42660700,41332300,27492400,21653100,15407800,8283900,7736700,6708400,7171000,4645100,
负债合计,104980600,108761600,107209600,98807100,83496200,64626700,54263100,34717600,27902100,24754900,22518000,16820400,
实收资本,18302100,18302100,18302100,18302100,18302100,18302100,18302100,18302100,18302100,17902100,17902100,17582400,
资本公积,12800800,11549200,11567600,11587800,11287800,11584500,11637900,11531500,12219200,5979700,6196300,5379000,
减:库存股,,,,,,,0,0,0,0,0,0,
专项储备,1164800,1034500,892200,1005400,910700,849100,807500,0,0,0,0,0,
盈余公积,18684000,18473700,17505100,16162300,15128000,13863700,12544700,12221600,10269600,8992800,7657300,5757500,
一般风险准备,,,,,,,0,0,0,0,0,0,
未确定的投资损失,,,,,,,0,0,0,0,0,0,
未分配利润,70672800,70214000,66413600,59868600,55159800,49414600,41904600,37379300,27054400,21325500,15897000,10635600,
拟分配现金股利,,,,,,,0,0,0,0,0,0,
外币报表折算差额,,,-1395600,-511500,-499900,-109700,-418600,-272600,-108600,-53400,-28900,0,
归属于母公司股东权益合计,117996800,117601000,113285000,106414700,100288500,93904300,84778200,79161900,67736700,54146700,47623800,39354500,
少数股东权益,16432000,14175000,13705800,11661900,7968100,7105800,6032900,5610600,3770400,2612800,2399600,930900,
所有者权益合计,134428800,131776000,126990800,118076600,108256600,101010100,90811100,84772500,71507100,56759500,50023400,40285400,
负债和所有者权益总计,239409400,240537600,234200400,216883700,191752800,165636800,145074200,119490100,99409200,81514400,72541400,57105800,		
  
